,Apple Phones,Apple_phones_price
0,Apple Wired EarPods with Lightning Connector,"1,799"
1,Apple iPhone 15 (128 GB) - Black,"71,590"
2,Apple iPhone 13 (128GB) - Blue,"52,090"
3,Apple iPhone 13 (128GB) - Midnight,"52,090"
4,Apple iPhone 15 (128 GB) - Blue,"71,590"
5,New Apple AirTag,"3,490"
6,Apple USB-C to 3.5 mm Headphone Jack Adapter,900
7,"Apple Watch SE (2nd Gen) [GPS 40 mm] Smart Watch w/Starlight Aluminium Case & Starllight Sport Band. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display, Water Resistant","23,900"
8,Apple Pencil (2nd Generation) ​​​​​​​,"11,499"
9,Apple iPhone 14 (128 GB) - Blue,"58,999"
10,Apple iPhone 15 (256 GB) - Black,"81,990"
11,"Apple USB-C to Lightning Cable -2m (for iPhone, iPad, AirPods or iPod with Lightning Connector)","2,900"
12,Apple iPhone 14 (128 GB) - Midnight,"58,999"
13,Apple iPhone 15 (128 GB) - Pink,"71,590"
14,"Apple MagSafe Charger (for iPhone, AirPods Pro, AirPods with Wireless Charging Case)","3,849"
15,Apple iPhone 15 Plus (128 GB) - Blue,"80,990"
16,"Apple Watch SE (2nd Gen) [GPS 44 mm] Smart Watch w/Starlight Aluminium Case & Starllight Sport Band. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display, Water Resistant","26,499"
17,Apple iPhone 15 (128 GB) - Green,"71,590"
18,Apple iPhone 14 (128 GB) - Starlight,"58,999"
19,Apple iPhone 15 (256 GB) - Blue,"81,990"
20,Apple Pencil Tips - 4 Pack,"1,823"
21,Apple iPhone 15 Plus (128 GB) - Black,"80,990"
22,Apple Pencil (USB-C),"7,399"
23,Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,"1,48,900"
